AAV_ID,n,mean,sd,median,IQR_lower,IQR_upper
AAV4wt,19,2.6750207249622497e-8,1.1660145011987363e-7,0,0,0
AAVJEA3-H19,19,2.4022021302131056e-8,7.272537522672945e-8,0,0,0
AAV2_L1,19,1.8284331522417367e-8,7.969955335641252e-8,0,0,0
AAVJEA3-S4,19,1.2722274403977957e-8,5.545510845893405e-8,0,0,0
AAVAH4-N6,19,1.017086921151046e-8,4.433379106094331e-8,0,0,0
AAVAH4-N5,19,9.132846802452156e-9,3.980915627872751e-8,0,0,0
AAVJEA3-H20,19,8.561882914593117e-9,3.732038239113888e-8,0,0,0
AAV2HBKO,19,8.198127181787449e-9,3.573480791170539e-8,0,0,0
AAVLK03,19,6.166521134282007e-9,2.6879242457543064e-8,0,0,0
AAV2_BR1,19,3.988923146925993e-9,1.738731289100065e-8,0,0,0
AAV4_P2,19,2.4978119484887736e-9,1.0887709863430987e-8,0,0,0
AAV2_A2,19,0,0,0,0,0
AAV2_P4,19,0,0,0,0,0
AAV2YF,19,0,0,0,0,0
AAV3_A1,19,0,0,0,0,0
AAV4_A2,19,0,0,0,0,0
AAV4_A6,19,0,0,0,0,0
AAV8wt,19,0,0,0,0,0
AAV9_BR1,19,0,0,0,0,0
AAV9_K1,19,0,0,0,0,0
AAV9_P1,19,0,0,0,0,0
AAV9_P3,19,0,0,0,0,0
AAVAH3-17,19,0,0,0,0,0
AAVAH3-18,19,0,0,0,0,0
AAVAH3-N8,19,0,0,0,0,0
AAVAH4-7,19,0,0,0,0,0
AAVJEA2-D16,19,0,0,0,0,0
AAVJEA2-H2,19,0,0,0,0,0
AAVJEA2-S11,19,0,0,0,0,0
AAVJEA3-D12,19,0,0,0,0,0
AAVJEA3-D7,19,0,0,0,0,0
AAVJEA3-H13,19,0,0,0,0,0
AAVJEA3-S2,19,0,0,0,0,0
AAVM41,19,0,0,0,0,0
AAVpo1_A1,19,0,0,0,0,0
