celltype,AAV_ID,n,mean,sd,median,IQR_lower,IQR_upper
qNSC,AAVDJ,3,1.2060500475518535e-6,4.060370714238167e-7,9.735535865731345e-7,9.716270737638554e-7,1.3242247908504921e-6
qNSC,AAVAH4b-10,3,1.0617879994441116e-6,6.2426988325230445e-07,7.540078957798029e-7,7.025902308588372e-7,1.2670957161972317e-6
qNSC,AAVJEA3-H15,3,9.834256773189785e-7,1.0271821854092969e-6,4.3005077453344464e-7,3.9081457310319673e-7,1.2993493301419932e-6
qNSC,AAV8_A1,3,9.011602349064601e-7,1.5608553126186935e-6,0,0,1.3517403523596902e-6
qNSC,AAV2_P2,3,8.154563412236243e-7,1.4124118143535404e-6,0,0,1.2231845118354365e-6
qNSC,AAVJEA2-D3,3,7.81427184920349e-7,1.353471586697565e-6,0,0,1.1721407773805236e-6
qNSC,AAVJEA3-D20,3,7.382637819162148e-7,1.2787103796668335e-6,0,0,1.1073956728743222e-6
qNSC,AAVAH4-N11,3,6.16988437028944e-7,8.493032012133123e-7,2.6532367543285563e-7,1.3266183771642782e-7,9.254826555434162e-7
qNSC,AAVAH4-N3,3,6.115596509958597e-7,1.0592523873839193e-6,0,0,9.173394764937894e-7
qNSC,AAV4_L1,3,6.05568567363656e-7,6.92881525701023e-7,4.5552855694939175e-7,2.2776427847469588e-7,9.08352851045484e-7
qNSC,AAVJEA3-D2,3,5.930800544447254e-7,1.0272447872539803e-6,0,0,8.896200816670881e-7
qNSC,AAVrh10_A6,3,5.54348267688798e-7,2.658755198099043e-7,6.53344973048581e-7,4.532607132223948e-7,7.049341748350926e-7
qNSC,AAVJEA2-D1,3,4.876664221787056e-7,4.3269746829057235e-7,6.373550924032998e-7,3.186775462016499e-7,7.314996332680583e-7
qNSC,AAVAH3-N1,3,4.612962275616579e-7,5.317315965376555e-7,3.410272092663778e-7,1.705136046331889e-7,6.919443413424869e-7
qNSC,AAV8_A6,3,4.013360717014305e-7,6.951344670969835e-7,0,0,6.020041075521457e-7
qNSC,AAV3wt,3,4.009470043358244e-7,4.2134302568520603e-7,3.627553224505101e-7,1.8137766122525506e-7,6.014205065037366e-7
qNSC,AAVJEA3-D4,3,4.0092008430075155e-7,6.944139557836991e-7,0,0,6.013801264511273e-7
qNSC,AAVAnc80L65,3,3.817775366476005e-7,6.612580906621331e-7,0,0,5.726663049714008e-7
qNSC,AAVAH3-21,3,1.837131437075288e-7,3.182004989196425e-7,0,0,2.755697155612932e-7
qNSC,AAVrh10_P2,3,1.4995158077108049e-7,2.597237565707797e-7,0,0,2.2492737115662074e-7
qNSC,AAV2_A2,3,0,0,0,0,0
qNSC,AAV2_BR1,3,0,0,0,0,0
qNSC,AAV2HBKO,3,0,0,0,0,0
qNSC,AAV2_L1,3,0,0,0,0,0
qNSC,AAV2_L1mut1,3,0,0,0,0,0
qNSC,AAV2_L1mut2,3,0,0,0,0,0
qNSC,AAV2_P4,3,0,0,0,0,0
qNSC,AAV2_P5,3,0,0,0,0,0
qNSC,AAV2YF,3,0,0,0,0,0
qNSC,AAV3_A1,3,0,0,0,0,0
qNSC,AAV3_P5,3,0,0,0,0,0
qNSC,AAV4_A2,3,0,0,0,0,0
qNSC,AAV4_A6,3,0,0,0,0,0
qNSC,AAV4_P2,3,0,0,0,0,0
qNSC,AAV4wt,3,0,0,0,0,0
qNSC,AAV5_P4,3,0,0,0,0,0
qNSC,AAV5wt,3,0,0,0,0,0
qNSC,AAV8wt,3,0,0,0,0,0
qNSC,AAV9_BR1,3,0,0,0,0,0
qNSC,AAV9_K1,3,0,0,0,0,0
qNSC,AAV9K449R_PHP.A,3,0,0,0,0,0
qNSC,AAV9K449R_PHP.eB,3,0,0,0,0,0
qNSC,AAV9_P1,3,0,0,0,0,0
qNSC,AAV9_P3,3,0,0,0,0,0
qNSC,AAVAH3-10,3,0,0,0,0,0
qNSC,AAVAH3-17,3,0,0,0,0,0
qNSC,AAVAH3-18,3,0,0,0,0,0
qNSC,AAVAH3-N10,3,0,0,0,0,0
qNSC,AAVAH3-N12,3,0,0,0,0,0
qNSC,AAVAH3-N2,3,0,0,0,0,0
qNSC,AAVAH3-N5,3,0,0,0,0,0
qNSC,AAVAH3-N6,3,0,0,0,0,0
qNSC,AAVAH3-N8,3,0,0,0,0,0
qNSC,AAVAH4-6,3,0,0,0,0,0
qNSC,AAVAH4-7,3,0,0,0,0,0
qNSC,AAVAH4-N5,3,0,0,0,0,0
qNSC,AAVAH4-N6,3,0,0,0,0,0
qNSC,AAVAH4-N7,3,0,0,0,0,0
qNSC,AAVJEA2-D10,3,0,0,0,0,0
qNSC,AAVJEA2-D16,3,0,0,0,0,0
qNSC,AAVJEA2-H2,3,0,0,0,0,0
qNSC,AAVJEA2-S11,3,0,0,0,0,0
qNSC,AAVJEA3-D12,3,0,0,0,0,0
qNSC,AAVJEA3-D16,3,0,0,0,0,0
qNSC,AAVJEA3-D5,3,0,0,0,0,0
qNSC,AAVJEA3-D7,3,0,0,0,0,0
qNSC,AAVJEA3-H13,3,0,0,0,0,0
qNSC,AAVJEA3-H19,3,0,0,0,0,0
qNSC,AAVJEA3-H20,3,0,0,0,0,0
qNSC,AAVJEA3-H3,3,0,0,0,0,0
qNSC,AAVJEA3-S10,3,0,0,0,0,0
qNSC,AAVJEA3-S2,3,0,0,0,0,0
qNSC,AAVJEA3-S4,3,0,0,0,0,0
qNSC,AAVJEA3-S5,3,0,0,0,0,0
qNSC,AAVLK03,3,0,0,0,0,0
qNSC,AAVM41,3,0,0,0,0,0
qNSC,AAVpo1_A1,3,0,0,0,0,0
qNSC,AAVrh10_P5,3,0,0,0,0,0
qNSC,AAVrh10wt,3,0,0,0,0,0
TAP,AAV9_A2,2,0.5457679445346584,0.6402642496809589,0.5457679445346584,0.31940034818429697,0.7721355408850198
TAP,AAV9_P4,2,0.11187364764344555,0.15800096052958487,0.11187364764344555,0.056011872331216794,0.1677354229556743
TAP,AAV7_A2,2,0.0804948932580075,0.11375597161574232,0.0804948932580075,0.0402760837930296,0.1207137027229854
TAP,AAV1wt,2,0.048236831902573975,0.0681404704915276,0.048236831902573975,0.024145537523673467,0.07232812628147448
TAP,AAVrh10_A2,2,0.04097904709315029,0.057829376711208164,0.04097904709315029,0.02053327488100694,0.06142481930529364
TAP,AAV7_A1,2,0.037500457574709975,0.05288069471458843,0.037500457574709975,0.018804308661439426,0.056196606487980534
TAP,AAV1_P5,2,0.0303904943490828,0.04286804669106934,0.0303904943490828,0.015234351093344464,0.04554663760482114
TAP,AAVpo1_A2,2,0.018405794506438193,0.02596921369282172,0.018405794506438193,0.009224290954299802,0.027587298058576584
TAP,AAV1_P4,2,0.01551042225942522,0.02180374506178578,0.01551042225942522,0.007801634265199509,0.02321921025365093
TAP,AAVAH4-N9,2,0.010214766086601143,0.014413675637041606,0.010214766086601143,0.005118762194213418,0.015310769978988868
TAP,AAV7_P5,2,0.009380104827811774,0.013239308155586426,0.009380104827811774,0.004699302540295012,0.014060907115328536
TAP,AAVAH4-N4,2,0.009007470788605311,0.012730231768033725,0.009007470788605311,0.004506654183978782,0.013508287393231842
TAP,AAV7_P2,2,0.006118658139316601,0.008621774312654037,0.006118658139316601,0.003070400598147774,0.009166915680485428
TAP,AAV5_P5,2,0.006084293356688468,0.008599502905003905,0.006084293356688468,0.00304390994720763,0.009124676766169305
TAP,AAV5_A2,2,0.005128954811777966,0.007164564727219313,0.005128954811777966,0.0025958986603446038,0.007662010963211328
TAP,AAV9_A6,2,0.004384051602808214,0.006074583044137066,0.004384051602808214,0.002236362171113144,0.0065317410345032845
TAP,AAV7_A6,2,0.004283644278006712,0.006042213699623726,0.004283644278006712,0.002147399137815615,0.0064198894181978095
TAP,AAV5_A6,2,0.0038648086578726244,0.005363725555054157,0.0038648086578726244,0.001968445301671438,0.005761172014073811
TAP,AAVAH4-N12,2,0.002533810319914553,0.0035822439727202326,0.002533810319914553,0.0012672958174269955,0.0038003248224021103
TAP,AAVB1,2,0.0024262722685157766,0.003398140841798223,0.0024262722685157766,0.0012248480521845331,0.0036276964848470194
TAP,AAV7_P4,2,0.0023984187934631895,0.0033320485395915943,0.0023984187934631895,0.001220361734669215,0.0035764758522571637
TAP,AAV9_A1,2,0.001811707957888419,0.0024785370589614913,0.001811707957888419,9.354127769815031e-4,0.002688003138795335
TAP,AAVJEA3-H4,2,0.0013649923206726835,0.0019172489472921732,0.0013649923206726835,6.871424547461507e-4,0.002042842186599216
TAP,AAV8_P5,2,0.0012686022901125132,0.0017904641506166804,0.0012686022901125132,6.355776189262798e-4,0.0019016269612987466
TAP,AAV7wt,2,6.449050480358301e-5,3.823044415665616e-5,6.449050480358301e-5,5.097400164811042e-5,7.80070079590556e-5
TAP,AAV9_P5,2,4.8861053502590886e-5,3.9390213957555144e-5,4.8861053502590886e-5,3.4934509801702766e-5,6.2787597203479e-5
TAP,AAVJEA2-H8,2,4.7559065475636065e-5,2.791211849539527e-5,4.7559065475636065e-5,3.769064134294784e-5,5.7427489608324286e-5
TAP,AAVpo1_A6,2,3.7808254665418095e-5,2.1153065843004598e-5,3.7808254665418095e-5,3.032951651518105e-5,4.528699281565514e-5
TAP,AAV4_P5,2,3.692577047872107e-5,1.4225672487673182e-5,3.692577047872107e-5,3.189623573723477e-5,4.195530522020738e-5
TAP,AAV4_P4,2,2.5887797366458476e-5,2.269350030420246e-5,2.5887797366458476e-5,1.786443338947821e-5,3.3911161343438746e-5
TAP,AAV1_A2,2,2.5472403150166946e-5,1.9040490954227935e-6,2.5472403150166946e-5,2.479922013662416e-5,2.6145586163709728e-5
TAP,AAV4_A1,2,2.336583737539458e-5,1.1066595645631294e-5,2.336583737539458e-5,1.9453204962556877e-5,2.7278469788232284e-5
TAP,AAV2wt,2,2.142059283655271e-5,1.182305545727225e-5,2.142059283655271e-5,1.72405114924618e-5,2.5600674180643626e-5
