AAV_ID,n,mean,sd,median,IQR_lower,IQR_upper
AAVAH4b-10,2,3.889142419283737e-4,5.568659774157755e-5,3.889142419283737e-4,3.692260564862352e-4,4.086024273705121e-4
AAVJEA2-H8,2,3.753295426062231e-4,3.2006758144149537e-4,3.753295426062231e-4,2.6216856396859363e-4,4.884905212438526e-4
AAV2YF,2,3.65805261788808e-4,2.58963609279325e-4,3.65805261788808e-4,2.7424779968783085e-4,4.573627238897851e-4
AAV7_A1,2,3.623717103557523e-4,3.5062439574989565e-5,3.623717103557523e-4,3.4997526596154303e-4,3.747681547499617e-4
AAV2_MTP,2,3.474273254759762e-4,3.4224086534738116e-4,3.474273254759762e-4,2.264269071328335e-4,4.6842774381911887e-4
AAV9_A1,2,3.369700603391739e-4,3.168422289203518e-5,3.369700603391739e-4,3.257679959073818e-4,3.481721247709659e-4
AAV7_P5,2,3.1627175430503013e-4,6.755520860051388e-5,3.1627175430503013e-4,2.9238738125208255e-4,3.4015612735797767e-4
AAVJEA3-D16,2,2.704826096670003e-4,2.0277005228423384e-4,2.704826096670003e-4,1.987925701711341e-4,3.421726491628666e-4
AAV7wt,2,2.5013018917626763e-4,4.8484969551004794e-5,2.5013018917626763e-4,2.3298816379869826e-4,2.6727221455383703e-4
AAV4_P2,2,2.450353243768225e-4,6.23391732195036e-5,2.450353243768225e-4,2.2299509831828556e-4,2.6707555043535943e-4
AAV5_P4,2,2.1573035333606635e-4,2.6093392720847567e-4,2.1573035333606635e-4,1.234762786506913e-4,3.079844280214414e-4
AAVpo1_A6,2,2.0890640389981008e-4,2.241648299470636e-5,2.0890640389981008e-4,2.0098098033185518e-4,2.1683182746776497e-4
AAVAnc80L65,2,2.0733091995875756e-4,4.2198778416439364e-5,2.0733091995875756e-4,1.9241139877073117e-4,2.2225044114678396e-4
AAVAH4-7,2,1.991491557614336e-4,1.3187978347047955e-4,1.991491557614336e-4,1.5252261116473876e-4,2.457757003581284e-4
AAVAH3-N10,2,1.7478860050300734e-4,1.0580949438264839e-4,1.7478860050300734e-4,1.3737929500706205e-4,2.1219790599895263e-4
AAV3_A6,2,1.6486735993644837e-4,2.2031243053103973e-4,1.6486735993644837e-4,8.697515313235418e-5,2.4275956674054257e-4
AAV4_A6,2,1.536408520986653e-4,2.1991920941285644e-5,1.536408520986653e-4,1.4586553388421455e-4,1.6141617031311604e-4
AAVAH4-N11,2,1.4705294442794148e-4,8.064391451482478e-5,1.4705294442794148e-4,1.1854101502051104e-4,1.755648738353719e-4
AAVLK03,2,1.4209919192074652e-4,6.883158686342291e-5,1.4209919192074652e-4,1.1776355100526789e-4,1.6643483283622514e-4
AAVAH4-N7,2,1.359133434421709e-4,1.153913733855509e-4,1.359133434421709e-4,9.511633213649492e-5,1.7671035474784688e-4
AAV9_P5,2,1.3066047137837608e-4,1.0032322470402597e-5,1.3066047137837608e-4,1.2711350975344016e-4,1.34207433003312e-4
AAVAH3-N8,2,1.2613590346601252e-4,1.7838310538381837e-4,1.2613590346601252e-4,6.306795173300626e-5,1.892038551990188e-4
AAV9K449R_PHP.S,2,1.2307938495212414e-4,4.6180721425059294e-5,1.2307938495212414e-4,1.0675203431225098e-4,1.394067355919973e-4
AAVpo1_A2,2,1.1075013959972786e-4,4.877168598052894e-5,1.1075013959972786e-4,9.350674465636143e-5,1.2799353454309432e-4
AAV4_A2,2,1.0838373394162801e-4,1.5327774648088747e-4,1.0838373394162801e-4,5.4191866970814004e-5,1.6257560091244202e-4
AAVJEA2-D16,2,1.0235340143748247e-4,5.565090197655279e-5,1.0235340143748247e-4,8.26778363540983e-5,1.2202896652086663e-4
AAVJEA2-D10,2,9.997606351902483e-5,1.278663584838879e-4,9.997606351902483e-5,5.476847893423125e-5,1.451836481038184e-4
AAV8_A1,2,9.823282001533744e-5,5.743419615137618e-5,9.823282001533744e-5,7.792676523001923e-5,1.1853887480065564e-4
AAV3wt,2,8.678487525565261e-5,3.693499211264513e-6,8.678487525565261e-5,8.547902608635645e-5,8.809072442494876e-5
AAVAH3-18,2,8.374241499013903e-5,1.170424544906384e-5,8.374241499013903e-5,7.960433932728661e-5,8.788049065299144e-5
AAVrh10wt,2,8.125590948045587e-5,5.8163439039772764e-5,8.125590948045587e-5,6.069202839937901e-5,1.018197905615327e-4
AAV8wt,2,7.368731666277955e-5,1.042096025993838e-4,7.368731666277955e-5,3.6843658331389775e-5,1.1053097499416932e-4
AAVAH3-17,2,7.246539991183545e-5,5.636546980888608e-5,7.246539991183545e-5,5.253719694852097e-5,9.239360287514993e-5
AAVAH3-N5,2,7.033858735211465e-5,3.094052564984363e-5,7.033858735211465e-5,5.939945960187427e-5,8.127771510235502e-5
AAV3_A1,2,6.886214188290563e-5,2.383863579299709e-5,6.886214188290563e-5,6.0433911371173335e-5,7.729037239463793e-5
AAVAH4-N12,2,6.768421618839879e-5,4.0171842431406635e-5,6.768421618839879e-5,5.348132509039624e-5,8.188710728640136e-5
AAV5_P5,2,6.747962304523271e-5,5.668273074957788e-5,6.747962304523271e-5,4.7439251400633835e-5,8.751999468983157e-5
AAV9wt,2,5.904247700797749e-5,1.1549482342309242e-5,5.904247700797749e-5,5.4959118366256914e-5,6.312583564969807e-5
AAVAH3-10,2,5.80828994687237e-5,8.21416241706221e-5,5.80828994687237e-5,2.904144973436185e-5,8.712434920308556e-5
AAVJEA2-H17,2,5.793088240853015e-5,4.1930435710034574e-5,5.793088240853015e-5,4.310623469419415e-5,7.275553012286615e-5
AAV5wt,2,5.7457111825366135e-5,8.125662679822032e-5,5.7457111825366135e-5,2.8728555912683068e-5,8.61856677380492e-5
AAVpo1_P5,2,5.740552135424363e-5,3.257092866715334e-5,5.740552135424363e-5,4.5889959089199905e-5,6.892108361928736e-5
AAVpo1_P4,2,5.328755731350358e-5,3.6642808761174546e-5,5.328755731350358e-5,4.03323680351294e-5,6.624274659187775e-5
AAVJEA3-H4,2,5.185065722064601e-5,2.90334750364206e-5,5.185065722064601e-5,4.1585773680814336e-5,6.211554076047768e-5
AAVAH4-1,2,5.023858385836329e-5,4.23209985584143e-6,5.023858385836329e-5,4.874231060500125e-5,5.1734857111725334e-5
AAVAH3-N12,2,4.931452222984049e-5,1.9297890993213222e-5,4.931452222984049e-5,4.249168743789055e-5,5.613735702179042e-5
AAVJEA2-D3,2,4.923379360500564e-5,5.858630917194098e-5,4.923379360500564e-5,2.8520405354920092e-5,6.99471818550912e-5
AAVJEA2-S11,2,4.878058030695422e-5,6.898615825052458e-5,4.878058030695422e-5,2.439029015347711e-5,7.317087046043133e-5
AAV2_A2,2,4.766432885841495e-5,6.740754031298172e-5,4.766432885841495e-5,2.3832164429207475e-5,7.149649328762243e-5
AAVJEA3-D4,2,4.654527678751079e-5,6.582496169730736e-5,4.654527678751079e-5,2.3272638393755394e-5,6.981791518126618e-5
