population	serotype	average	Set4	Set5	Set6
Epend	AAV1_A2	0.004030548423532589	3.646634782192664e-4	0.008659055264723253	0.0030679265276552493
Epend	AAVrh10_A6	0.0035890248903715557	0.002459516198665493	0.004426975888201872	0.0038805825842473016
Epend	AAV1_A1	0.003578861620696895	0.006019833895070298	0.0033138403861704886	0.0014029105808498977
Epend	AAV9_A1	0.00344387449022516	0.00470365982727741	0.0033849465849493695	0.0022430170584487002
Epend	AAV1_P2	0.0032807370249655133	0	0.008851824207066128	9.903868678304126e-4
Epend	AAV8_A6	0.0032096549796438853	0.0025403401856440204	0.0018393688774611362	0.0052492558758264985
Epend	AAV6_P5	0.003161832265031958	0.009485496795095874	0	0
Epend	AAV7_WT	0.00287130927402043	0.0028515549628678758	0.0023453878172179396	0.0034169850419754747
Epend	AAV9_WT	0.002047713969269467	0.0012435694650401632	0.0035783342503115574	0.0013212381924566795
Epend	AAV6_P2	0.0014976338488099047	0.0016664477101162116	0.0028264538363135024	0
Epend	AAVpo1_P5	0.001246498071816824	0.001594838863312538	0.0010298217336475205	0.0011148336184904134
Epend	AAVrh10_P5	0.0011375032825752247	8.304378011654167e-4	0.0015559028261002395	0.001026169220460018
Epend	AAV2_WT	0.0011312349776515683	0.001459620824395469	7.817860306841329e-4	0.0011522980778751026
Epend	AAV2_A1	0.0010653399215157253	8.296999801184531e-4	0.0014894252788510399	8.768945055776828e-4
Epend	AAV5_P5	0.0010334178458009317	0.0012957701047764617	7.931433235567875e-4	0.0010113401090695458
Epend	AAV2_A2	9.87911548891696e-4	0.0014777458392686061	0.0011167117633026423	3.692770441038392e-4
Epend	AAV4mut_WT	8.219621380579858e-4	4.1892868550161586e-4	3.77475916145741e-4	0.0016694818125266005
Epend	AAVrh10_A1	7.499192469530381e-4	0.0015221311119656997	3.717617987246715e-4	3.558648301687433e-4
Epend	AAV3_WT	7.301055073070409e-4	6.396427347501144e-4	4.508654228832362e-4	0.001099808364287772
Epend	AAV9_P2	7.073335866019927e-4	7.028521197727208e-4	0	0.0014191486400332571
Epend	AAVrh10_WT	6.877869256375071e-4	0.001362282736546816	4.769506873502102e-4	2.2412735301549514e-4
Epend	AAV5_P4	6.432779381156723e-4	5.302500790793692e-4	7.43910573453593e-4	6.55673161814055e-4
Epend	AAV4_P5	6.201138722172719e-4	1.546166849040817e-5	0.001783263316907942	6.161663125346543e-5
Epend	AAV3_P2	2.904701042749487e-4	0	8.281690972049799e-4	4.3241215619866195e-5
Epend	AAV4mut_A6	2.1027029734933838e-4	1.517354813132044e-4	2.5735781006454403e-4	2.2171760067026672e-4
Epend	AAV4mut_P4	2.0302414290525073e-4	1.4525417084830929e-5	5.173662710681942e-4	7.718074056272714e-5
Epend	AAV5_WT	1.9859083074462273e-4	2.2478174342987977e-4	1.4130289938724973e-4	2.2968784941673873e-4
Epend	AAV5_A1	1.8652205165081603e-4	2.595066555279593e-4	6.502185967855416e-5	2.3503763974593462e-4
Epend	AAV2_P4	1.8326486745535788e-4	3.0594721931061566e-4	0	2.4384738305545796e-4
Epend	AAV2_P5	1.8322612812927795e-4	0	2.860812762089734e-4	2.6359710817886047e-4
Epend	AAV3_A6	1.5518508881553193e-4	4.1284961548197123e-4	5.270565096462452e-5	0
Epend	AAV2_P2	1.0220132537484593e-4	0	2.683860295725187e-4	3.821794655201908e-5
Epend	AAV3_P5	8.765449879764651e-5	1.7163506052179903e-4	9.132843587114048e-5	0
Epend	AAV4mut_P2	6.704653539459493e-5	0	0	2.0113960618378478e-4
Epend	AAVpo1_A1	6.031684293344171e-5	3.4335315122214654e-6	1.4558990143988514e-4	3.1927095848218517e-5
Epend	AAV4_A1	5.891178909194074e-5	0	1.7673536727582222e-4	0
Epend	AAV8_WT	3.098432881563507e-5	7.220958531533281e-6	8.573202791537193e-5	0
Epend	AAV4mut_A1	1.9887698814946693e-5	3.585119820809651e-5	0	2.3811898236743574e-5
Epend	AAV4_WT	9.998556270372494e-6	0	2.9995668811117484e-5	0
Epend	AAV3_A1	2.447789025048769e-6	0	0	7.343367075146307e-6
Epend	AAV12_A1	0	0	0	0
Epend	AAV12_A2	0	0	0	0
Epend	AAV12_A6	0	0	0	0
Epend	AAV12_P2	0	0	0	0
Epend	AAV12_P4	0	0	0	0
Epend	AAV12_P5	0	0	0	0
Epend	AAV12_WT	0	0	0	0
Epend	AAV2_A6	0	0	0	0
Epend	AAV3_A2	0	0	0	0
Epend	AAV4_A2	0	0	0	0
Epend	AAV4_A6	0	0	0	0
Epend	AAV4mut_A2	0	0	0	0
Epend	AAV4mut_P5	0	0	0	0
Epend	AAV4_P2	0	0	0	0
Epend	AAV4_P4	0	0	0	0
Epend	AAV5_P2	0	0	0	0
Epend	AAV6_A1	0	0	0	0
Epend	AAV6_A2	0	0	0	0
Epend	AAV6_A6	0	0	0	0
Epend	AAV8_A1	0	0	0	0
Epend	AAVpo1_WT	0	0	0	0
