serotype	average	aNSC Set1	aNSC Set2	aNSC Set3	qNSC Set1	qNSC Set2	qNSC Set3	Prog Set1	Prog Set2	Prog Set3	Neurob Set1	Neurob Set2	Neurob Set3	Astro Set4	Astro Set5	Astro Set6	Oligo Set4	Oligo Set5	Oligo Set6	Epend Set4	Epend Set5	Epend Set6
AAV7_A2	0.027533978544745465	0.020657046287726785	0.027298984976292823	0.02126843668186719	0.00420623508101897	0.02188734874164698	0.03450001883171106	0.024770552261846983	0.03133986579725567	0.03669065015641638	0.017365506440477418	0.023823759931993017	0.03409992181923334	0.02680005157409694	0.02809909154565079	0.033898315671216483	0.026097374218964835	0.027714835543282346	0.03867882486395117	0.038878843844981116	0.02923460223741052	0.030903282932613903
AAV9_P4	0.02558998965923502	0.02137519914669263	0.02486667213059243	0.023380228383908495	0.01976337526847448	0.02300912187451726	0.028232168395272494	0.02548219560348931	0.017828374795403227	0.026552325144253965	0.024545187633652026	0.029110237234113084	0.027222722224806706	0.02568922198657068	0.02367599005753603	0.028877442959360563	0.029767058229403155	0.027328289215457692	0.024174707052176544	0.029681841531254017	0.03258772120001439	0.0242397027769863
AAV1_WT	0.024269187853020992	0.008594862772917685	0.017277487881918196	0.03063574797778535	0.013758533115673897	0.019538317068601808	0.02931096926052088	0.013698766978540696	0.025483786454193188	0.028590577688760388	0.022195826835380142	0.01817613212542598	0.02316509389319509	0.02990672403814647	0.031236494575702774	0.029889486682148532	0.025881875809984432	0.025946344624054672	0.0293851290514214	0.033995545270150807	0.02836759939239956	0.02461764341651885
AAV7_P2	0.022048835064239894	0.022220900209616593	0.02682443136753784	0.014071278528628875	0.04475454310364218	0.02414796199766387	0.02217346164428659	0.02340449039610939	0.024200863591306795	0.020966845855850805	0.02515791844891906	0.027955216557337743	0.0293747593726634	0.015002479235617136	0.016183369851854992	0.01657692656918334	0.022784992655486457	0.013197896677210967	0.022573969349651123	0.016336558603615305	0.0227768548748583	0.012339817457996982
AAV9_A6	0.020164855968632982	0.006309296658637135	0.016524671897576677	0.01632885097932779	0.01880400128261666	0.015923712324598615	0.027082190845690943	0.014507545445181727	0.018331419018010726	0.027195523660879146	0.014596999938681573	0.02991036690273248	0.024385424418524954	0.018920593787917103	0.021144867897716652	0.027120807649739873	0.02140878377410774	0.0196291168485027	0.018732246292833498	0.02170689542013047	0.024633036913201983	0.020265623384684163
AAV6_P2	0.019678962451351527	0.35648491006406524	2.8531977757597206e-4	0	0	2.978201515876538e-4	0.0012233387050907877	0	3.811062285021515e-4	0	8.434157069526334e-4	3.5352172410075774e-4	0.03863754302314226	0	0	0.0029034300261272434	0.0063609350856642126	9.93969439143424e-4	0	0.0016664477101162116	0.0028264538363135024	0
AAV1_P2	0.019397112731331944	4.960814840167164e-4	0.053358179337532896	0.004128640667750689	0	7.994626421396291e-4	0	0	0.21790627877175106	0.0015000256145967896	7.546829251455842e-4	4.744934318525563e-4	0.0027222538467823404	0.0068212116695936156	4.025447512720067e-4	0.004676346770185669	0.029463039893008476	0.06255428604782622	0.011439628429620045	0	0.008851824207066128	9.903868678304126e-4
AAV7_A6	0.014269102864886463	0.006147098047976291	0.009921084021452137	0.011239723399902462	0.01586152001120873	0.009926910703571127	0.018154061216702516	0.007774842114578222	0.015432962379683059	0.017554854258550155	0.009239852708117708	0.011861764872287139	0.015700904918122604	0.014768150728119349	0.01977056191088279	0.021444650653102672	0.012231675100428023	0.017055737497542783	0.012854696721111853	0.014391153642623796	0.017724802855620194	0.020594152401032118
AAVrh10_P4	0.013412180238595509	0.00867220066858117	0.011595568226151534	0.006608682408926517	0.005259674893513186	0.01230212470459189	0.014510991334402692	0.004950120576347438	0.003614699929607745	0.012257450691966284	0.006949091528056833	0.07275453853822675	0.008245763478743699	0.013629518289992357	0.011603016784859121	0.018838796987095972	0.013071114368166338	0.011973348025912685	0.013589325645065296	0.008117308401614398	0.014478426207120977	0.008634023321562791
AAV1_A2	0.01231996256289575	2.4263908124596705e-4	0.023808784584599507	0.0024821361271172566	0	0.04705349174125018	0.0015169629099910078	1.411797228949466e-4	0.030411839723940053	0.0076302672574103635	0.0665653576557036	0.030350922365686983	0.0024410562677751537	0.007228719345396559	0.005228502200562458	8.47131204630862e-4	0.010507807211109901	0.0023200766562877155	0.00785069449461046	3.646634782192664e-4	0.008659055264723253	0.0030679265276552493
AAVpo1_A2	0.010401766177100282	0.003593195833453805	0.01797619029228241	0.002735660945972474	0.127599461576447	0.0039434177394733405	0.004874187406821536	0.0031626215211412257	1.306042404931369e-4	0.0052020304073291095	0.0013657775799748577	0.00756328968623798	0.004472861274182425	0.0035275408910717516	0.0053604054823998635	0.0028734693147336467	0.004111754427808213	0.0024917225401746425	0.0052433686595361115	0.003985063584141341	0.0035977289094953767	0.00462673740593568
AAV7_P5	0.010156757956682775	0.0056362261477057255	0.007672435615377038	0.00923429436983524	0.008110638048330064	0.00574875785994527	0.012189724192469338	0.006178131270748065	0.011459426362680344	0.009259532914397215	0.018665270712074123	0.011856529552545967	0.009004906766028588	0.008556052336400815	0.01164417615842295	0.013253681091299895	0.008976149334082697	0.011777085172757034	0.010892041086610025	0.008847989333764704	0.011094280264676711	0.013234588500186488
AAV8_P4	0.009844387341957302	0.00831386807228467	0.010522217833978408	0.006396356335522831	0.004494129910051153	0.011257004254848607	0.01131778472192797	0.007736568025126646	0.009698550351421885	0.011053340830079382	0.006727261628623382	0.007555689703498087	0.008364657178003509	0.009163538904914217	0.015277540216776266	0.014117194526815782	0.010092751882349068	0.008516159867590273	0.012035972267357137	0.01104266978900662	0.012120802438613723	0.010928075442313731
AAV8_P2	0.009409941213852926	0.005232445523340224	0.007256768600730155	0.008354193218859315	0.024989947093645895	0.0032778413430673632	0.02209733396587795	0.008278102573318003	1.521320179201337e-4	0.019425673214667274	7.214553909953963e-5	1.3104063909773471e-4	0.014556074872907577	0.0060318178476871055	0.008406207988793385	0.017269199693901206	0.008908509783601621	0.013849442479535857	0.005404209899105423	0.014777420226164899	0.00459370705041041	0.004544551919180372
AAV5_A2	0.008888445280747538	0.006109611074149432	0.005169139699983895	0.009149208255498927	0.0028500679700594876	0.006982318184916663	0.01031549009649727	0.006940647843584453	0.008858360267137926	0.009245785799244727	0.004496730005681192	0.010558001630271664	0.009065012532198881	0.011104636586611216	0.01220648233110408	0.011040915923238057	0.008991853956382322	0.009656632321194859	0.010376796922881147	0.011085249546951611	0.010131032057268638	0.012323377890841845
