population	serotype	average	Set1	Set2	Set3
Prog	AAVpo1_WT	5.073573921131128e-7	0	1.5220721763393384e-6	0
Prog	AAV12_A1	0	0	0	0
Prog	AAV12_A2	0	0	0	0
Prog	AAV12_P2	0	0	0	0
Prog	AAV12_P4	0	0	0	0
Prog	AAV12_P5	0	0	0	0
Prog	AAV12_WT	0	0	0	0
Prog	AAV3_A1	0	0	0	0
Prog	AAV3_A2	0	0	0	0
Prog	AAV4_A2	0	0	0	0
Prog	AAV4_A6	0	0	0	0
Prog	AAV4mut_A2	0	0	0	0
Prog	AAV4mut_P5	0	0	0	0
Prog	AAV4_P2	0	0	0	0
Prog	AAV4_P4	0	0	0	0
Prog	AAV4_WT	0	0	0	0
Prog	AAV5_P2	0	0	0	0
Prog	AAV6_A1	0	0	0	0
Prog	AAV6_A6	0	0	0	0
Prog	AAV6_P5	0	0	0	0
Prog	AAV8_WT	0	0	0	0
