population	serotype	average	Set1	Set2	Set3
Neurob	AAV7_WT	0.004028155410581629	0.0054786541796774035	0.0036734490680396955	0.002932362984027788
Neurob	AAV8_A6	0.003946063580250154	0.004642829376155526	0.004941584681080975	0.002253776683513961
Neurob	AAVrh10_P5	0.003826194990122446	0.003819333962156557	0.006495750214312765	0.0011635007938980157
Neurob	AAV6_P5	0.0036661306599766663	0	0.009232730920658249	0.00176566105927175
Neurob	AAV3_P4	0.0027125140981807835	4.216552123470568e-5	0.0015545159102058445	0.0065408608631018
Neurob	AAV2_P5	0.0016070227216725692	0.002950177673851232	0.001869079132734107	1.8113584323683625e-6
Neurob	AAVpo1_P5	0.001577934522804338	0.0014415760571425277	0.0015639916853843262	0.00172823582588616
Neurob	AAV9_WT	0.0014017539729897462	0.0022106327394024444	0.0013851333139151148	6.094958656516797e-4
Neurob	AAV1_P2	0.0013171434012601603	7.546829251455842e-4	4.744934318525563e-4	0.0027222538467823404
Neurob	AAV5_P5	0.0011116580808148353	5.083255183319785e-4	0.0020957296572784627	7.309190668340644e-4
Neurob	AAV5_P4	0.0010845009639350283	9.704319542808966e-4	0.0016400988963994544	6.429720411247337e-4
Neurob	AAV2_WT	9.611411743068399e-4	2.4381571917177496e-4	0.001823240309078479	8.163674946702657e-4
Neurob	AAV4_A1	9.559282839653354e-4	0.0026434898082611435	5.526341076776675e-6	2.187687025580859e-4
Neurob	AAV2_A2	9.488992288489823e-4	0.001029302826663739	0.0014634722241932173	3.539226356899905e-4
Neurob	AAV2_A1	8.741663966458596e-4	8.076647444522538e-4	1.927152963878489e-5	0.00179556291584654
Neurob	AAVrh10_A1	7.778440917818611e-4	0.001667091023674399	2.8415751801498353e-5	6.380254998696858e-4
Neurob	AAV3_WT	7.251485862180464e-4	7.007215751530478e-6	0.0015971993132563736	5.712392296462353e-4
Neurob	AAV3_P2	5.087131812842317e-4	0	0.001526139543852695	0
Neurob	AAV12_A6	3.894678024142952e-4	0	0.0011684034072428856	0
Neurob	AAV5_A1	3.733364480877805e-4	5.97002037770521e-4	4.1883293531541524e-4	1.0417437117740532e-4
Neurob	AAV12_A2	3.3967191924159793e-4	0	0	0.0010190157577247938
Neurob	AAVrh10_WT	2.8264734599308376e-4	9.4881601811381e-6	1.590803072852176e-5	8.225458470695914e-4
Neurob	AAV5_WT	2.177251565515693e-4	1.1933456398247923e-6	6.132409429800192e-4	3.8741181034863967e-5
Neurob	AAV3_P5	1.8727300177579306e-4	4.854345520772035e-4	1.4278751740866011e-6	7.495657807608913e-5
Neurob	AAV2_P4	1.3093117020137338e-4	0	1.2980783951148265e-5	3.7981272665297183e-4
Neurob	AAV9_P2	1.0557800431325007e-4	7.114492868665251e-6	1.1928294739117712e-5	2.9769122533196727e-4
Neurob	AAVpo1_A1	1.0421043722374875e-4	2.6500915360085054e-4	4.370354878534412e-6	4.32518031918613e-5
Neurob	AAV6_A2	7.348816574611463e-5	0	2.204644972383439e-4	0
Neurob	AAV4mut_A6	7.208491758341055e-5	6.143659352270937e-5	7.72543253083337e-5	7.756383391918856e-5
Neurob	AAV4mut_P4	4.682080026625224e-5	1.1027317129437742e-5	1.540717557454573e-5	1.1402790809477326e-4
Neurob	AAV2_A6	3.746376433039464e-5	3.874385127521079e-6	6.495868164753103e-6	1.0202103969890975e-4
Neurob	AAV3_A6	2.2448298609769957e-5	2.24677162081083e-6	1.8834901235585025e-6	6.321463408494054e-5
Neurob	AAV4_WT	1.964995966221568e-5	8.950727548001471e-6	1.1255220676972769e-5	3.87439307616728e-5
Neurob	AAV4mut_P2	1.5843990721540082e-5	3.83175078567889e-5	0	9.214464307831347e-6
Neurob	AAV4mut_A1	6.4734353571672475e-6	9.0724309854499e-6	3.802752803062877e-6	6.545122282988966e-6
Neurob	AAV2_P2	4.8568852575991964e-06	3.6402986340225464e-6	3.0516971375624574e-6	7.878660001212585e-6
Neurob	AAV8_A1	2.27892252099485e-6	0	2.5124517640411917e-6	4.324315798943358e-6
Neurob	AAVpo1_WT	6.07526163046708e-7	0	0	1.822578489140124e-6
Neurob	AAV12_A1	0	0	0	0
Neurob	AAV12_P2	0	0	0	0
Neurob	AAV12_P4	0	0	0	0
Neurob	AAV12_P5	0	0	0	0
Neurob	AAV12_WT	0	0	0	0
Neurob	AAV3_A1	0	0	0	0
Neurob	AAV3_A2	0	0	0	0
Neurob	AAV4_A2	0	0	0	0
Neurob	AAV4_A6	0	0	0	0
Neurob	AAV4mut_A2	0	0	0	0
Neurob	AAV4mut_P5	0	0	0	0
Neurob	AAV4_P2	0	0	0	0
Neurob	AAV4_P4	0	0	0	0
Neurob	AAV5_P2	0	0	0	0
Neurob	AAV6_A1	0	0	0	0
Neurob	AAV6_A6	0	0	0	0
Neurob	AAV8_WT	0	0	0	0
