population	serotype	average	In vitro 1	In vitro 2
NSC	AAV9BI	2.3121076869485784e-5	1.9511678501672957e-5	2.673047523729861e-5
NSC	AAV2_P4	1.932938837177732e-5	3.6684408213816824e-5	1.9743685297378214e-6
NSC	AAV9_BR1	1.8814588895835904e-5	3.762917779167181e-5	0
NSC	AAVAH3-N2	1.705128817656312e-5	3.995684462857242e-6	3.0106891890269002e-5
NSC	AAVJEA3-D7	1.3670315852501608e-5	0	2.7340631705003217e-5
NSC	AAVAH4-N5	1.339043394126159e-5	2.678086788252318e-5	0
NSC	AAVAH3-N4	1.1098598619655632e-5	9.84001756404739e-6	1.2357179675263873e-5
NSC	AAV3_P5	9.027732680457809e-6	1.8055465360915617e-5	0
NSC	AAV5_A1	8.69192211635731e-6	1.0120979221591697e-5	7.262865011122923e-6
NSC	AAVpo1_A1	7.327243139309547e-6	1.4654486278619094e-5	0
NSC	AAV2_BR1	7.019519325680621e-6	1.2374092913989923e-5	1.6649457373713184e-6
NSC	AAVAH3-N1	5.384196654872867e-6	4.517033604274152e-6	6.251359705471581e-6
NSC	AAV2_P5	5.109567611955289e-6	7.520692175004056e-6	2.6984430489065215e-6
NSC	AAVJEA2-H2	5.0438062003888884e-6	1.0087612400777777e-5	0
NSC	AAVJEA3-H19	4.010956800823084e-6	8.021913601646168e-6	0
NSC	AAVJEA2-D7	3.4998781793192356e-6	3.3710899715611267e-6	3.628666387077344e-6
NSC	AAVJEA2-H1	2.557237298924138e-6	9.63971245578967e-7	4.15050335226931e-6
NSC	AAV2_L1mut1	2.2681042799909e-6	0	4.5362085599818e-6
NSC	AAVJEA3-D12	1.8380292829773966e-06	3.676058565954793e-6	0
NSC	AAVJEA3-D20	1.5924594726731063e-6	0	3.1849189453462126e-6
NSC	AAV2_L1	8.683434899175812e-7	0	1.7366869798351623e-6
NSC	AAV2HBKO	7.786765799005075e-7	0	1.557353159801015e-6
NSC	AAVJEA3-H15	6.906706247641925e-7	6.652553881881996e-7	7.160858613401852e-7
NSC	AAV12wt	0	0	0
NSC	AAV2_A6	0	0	0
NSC	AAV2_L1mut2	0	0	0
NSC	AAV3_A2	0	0	0
NSC	AAV9K449R_PHP.B	0	0	0
NSC	AAV9LD	0	0	0
NSC	AAVAH3-N9	0	0	0
NSC	AAVJEA3-D5	0	0	0
NSC	AAVJEA3-H20	0	0	0
NSC	AAVJEA3-H5	0	0	0
NSC	AAVJEA3-S1	0	0	0
NSC	AAVJEA3-S10	0	0	0
NSC	AAVJEA3-S5	0	0	0
NSC	AAVpo1wt	0	0	0
